title,location,coordinate
Pharaoh's Bar & Upper - Lotte Hotels & Resorts Hanoi - Lotte Center,"Tầng 63 - 64, Lotte Center, 54 Liễu Giai, Quận Ba Đình, Hà Nội","21.03148227, 105.8131171"
Talata Seafood,"G23 Ngõ 14 Huỳnh Thúc Kháng, Quận Ba Đình, Hà Nội","21.019, 105.811542"
"Chops - Hops, Wheat & Meat - Phạm Huy Thông","56 Phạm Huy Thông, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.027394, 105.810075"
Nộm Lim - Cửa Bắc,"18 Cửa Bắc, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.0446988, 105.8433432"
Lemon House Coffee - Giảng Võ,"144 D2 Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.025937, 105.821915"
Hương Lan Bakery - Kim Mã,"513 Kim Mã, Quận Ba Đình, Hà Nội","21.030042, 105.811982"
Nem Thính Nam Định - Đội Cấn,"248 Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.035508, 105.818141"
Ken Food - Xiên Que & Đồ Ăn Vặt - Kim Mã,"24 Kim Mã, Quận Ba Đình, Hà Nội","21.032754, 105.8287764"
"Hải Hói - Lẩu Vịt, Vịt Quay Áp Chảo","55 Giang Văn Minh, P. Kim Mã, Quận Ba Đình, Hà Nội","21.032877, 105.827135"
"MAGIC EYE CAFE - Kem Xôi Phô Mai Ý, Khúc Bạch & Kem Bơ Sầu Riêng - 122 Kim Mã","122 Kim Mã, P. Kim Mã, Quận Ba Đình, Hà Nội","21.032205, 105.826788"
Minh Ngọc - Bún Bò Giò Heo & Bánh Bột Lọc,"110 - 111 A4 TT. Thành Công , Quận Ba Đình, Hà Nội","21.021052, 105.813606"
"Quang Nhất - Bún Riêu Cua, Bún Ốc, Bún Bò","216 Đội Cấn, Quận Ba Đình, Hà Nội","21.0352131, 105.8206119"
Bánh Mì Chả Nóng Long Đỉnh - Núi Trúc,"127B Núi Trúc, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.028927, 105.823832"
Phú Sơn - Xôi & Bánh Mì Pate Hải Phòng,"101 C6 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0270372, 105.8225994"
Bánh Tráng Huy Quân - Trần Huy Liệu,"101 C5 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0271064, 105.8226655"
Bangkok Thai Cuisine Restaurant - Giảng Võ,"115 K1 Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.025288, 105.822095"
Duy Diễm - Bún Chả Nem Cua Bể,"140 Ngọc Khánh, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0254321, 105.818547"
Highlands Coffee - Vincom Liễu Giai B1,"Tầng Hầm B1, Vincom Liễu Giai, 29 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.031127, 105.813665"
Bún Chả - Cao Bá Quát,"38A Cao Bá Quát, Quận Ba Đình, Hà Nội","21.0303895, 105.8372503"
Trạm Sushi - Trấn Vũ,"82A Trấn Vũ, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.0435765, 105.8393728"
Xôi Sen Minh Long - Trong Miền Vị Việt,"188/2 Quán Thánh, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.042901, 105.838571"
Highlands Coffee - VTV Outside,"43 Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội","21.026331, 105.8121662"
Nem Chua Rán Chị Hạnh,"465 Đội Cấn, Quận Ba Đình, Hà Nội","21.037704, 105.80781"
The Bistro - Cafe & Restaurant,"2/2C Khu Ngoại Giao Đoàn Vạn Phúc, P. Kim Mã, Quận Ba Đình, Hà Nội","21.033337, 105.816429"
Chè Thập Cẩm 117 - Đội Cấn,"117 Đội Cấn, Quận Ba Đình, Hà Nội","21.0346605, 105.8285563"
Xôi Yến Anh - Đào Tấn,"100 Đào Tấn, P. Cống Vị, Quận Ba Đình, Hà Nội","21.0338143, 105.8062622"
Nhà Hàng Unatoto - Cơm Lươn Nhật Bản - Kim Mã,"531 Phố Kim Mã, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.029938, 105.8104573"
Cơm Rang Dưa Bò - Mì Xào & Cơm Rang Gà Khải Béo,"12 Vạn Phúc, P. Kim Mã, Quận Ba Đình, Hà Nội","21.03313084, 105.817522"
Cháo Dinh Dưỡng Tây Thi - Quán Thánh,"2A Quán Thánh, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội","21.040398, 105.847269"
Kitaguni - Quán Cơm Nhật Bản,"639A Kim Mã, Quận Ba Đình, Hà Nội","21.029212, 105.807205"
Phở Trộn Cô Liên,"16A Chợ Ngọc Hà, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.033724, 105.831466"
Phương Béo - Phở Trộn Chân Gà Rút Xương,"23 Ngõ 158 Ngọc Hà, P. Ngọc Hà, Quận Ba Đình, Hà Nội","21.037143, 105.8292151"
Bánh Mì V+ - Đội Cấn,"132 Đội Cấn, Quận Ba Đình, Hà Nội","21.034674, 105.826658"
Nobi Sushi - Quán Ăn Nhật Bản,"63 Đào Tấn, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.033002, 105.806822"
Get To Give - Fastfood & More - Phó Đức Chính,"67H Phó Đức Chính, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.047968, 105.842065"
